Jour,Date,Heure,KwH Restant,Achat KwH
Dimanche,28-08-2020,8:00,523.05,0
Dimanche,28-08-2020,18:00,440.44,0
Samedi,29-08-2020,8:00,390.38,0
Samedi,29-08-2020,12:30,347.1,0
Lundi,31-08-2020,8:00,188.82,0
Lundi,31-08-2020,17:00,109.98,0
Mardi,01-09-2020,8:00,47.99,600
Mardi,01-09-2020,12:19,612.5,0
Mardi,01-09-2020,16:00,571.68,0
Mercredi,02-09-2020,8:00,525.4,0
Mercredi,02-09-2020,17:00,462.53,0
Jeudi,03-09-2020,8:00,415.81,0
Jeudi,03-09-2020,17:00,340.27,0
Vendredi,04-09-2020,8:00,291.26,0
Vendredi,04-09-2020,18:02,197.22,0
Samedi,05-09-2020,8:00,126.66,600
Samedi,05-09-2020,12:00,693.2,0
Lundi,07-09-2020,8:00,540.99,0
Lundi,07-09-2020,18:00,450.24,0
Mardi,08-09-2020,8:00,398.52,0
Mardi,08-09-2020,19:30,314.96,0
Mercredi,09-09-2020,8:00,263.51,0
Mercredi,09-09-2020,18:00,184.34,0
Jeudi,10-10-2020,8:00,121.86,0
Jeudi,10-11-2020,16:00,648.81,600
Vendredi,11-09-2020,8:00,569.11,0
Vendredi,11-09-2020,16:00,480.53,0
Samedi,12-09-2020,8:00,402.5,0
Samedi,12-09-2020,14:00,368.33,0
Lundi,14-09-2020,8:00,217.16,0
Lundi,14-09-2020,16:00,113.97,0
Mardi,15-09-2020,8:00,44.6,0
Mardi,15-09-2020,14:20,604.99,600
Mercredi,16-09-2020,8:00,530.58,0
Mercredi,16-09-2020,16:00,440.87,0
Jeudi,17-09-2020,8:00,363.49,0
Jeudi,17-09-2020,17:00,267.7,0
Vendredi,18-09-2020,8:00,211.31,0
Vendredi,18-09-2020,16:30,115.47,0
Samedi,19-09-2020,8:22,57.42,0
Samedi,19-09-2020,13:50,220.85,200
Lundi,21-09-2020,8:00,126.66,0
Lundi,21-09-2020,16:20,632.75,600
Mardi,22-09-2020,8:00,556.99,0
Mardi,22-09-2020,17:30,459.08,0
Mercredi,23-09-2020,8:00,371.75,0
Mercredi,23-09-2020,17:00,271.9,0
Jeudi,24-09-2020,8:00,178.35,0
Jeudi,24-09-2020,15:40,87.29,0
Vendredi,25-09-2020,8:00,3.93,0
Vendredi,25-09-2020,14:00,603.83,600
Samedi,26-09-2020,8:00,528.34,0
Samedi,26-09-2020,16:00,476.75,0
Lundi,28-09-2020,8:00,327.97,0
Lundi,28-09-2020,17:00,240.53,0
Mardi,29-09-2020,8:00,157.56,0
Mardi,29-09-2020,16:00,673.44,600
Mercredi,30-09-2020,8:00,588.07,0
Mercredi,30-09-2020,16:00,504.14,0
Jeudi,01-10-2020,8:00,418.62,0
Jeudi,01-10-2020,18:02,336.41,0
Vendredi,02-10-2020,8:00,248.78,0
Vendredi,02-10-2020,16:30,188.48,0
Samedi,03-10-2020,8:00,108.47,0
Samedi,03-10-2020,18:02,666.7,600
Lundi,05-10-2020,8:00,483.09,0
Lundi,05-10-2020,17:40,377.6,0
Mardi,06-10-2020,8:00,305.97,0
Mardi,06-10-2020,16:30,204.08,0
Mercredi,07-10-2020,8:00,133.77,0
Jeudi,08-10-2020,8:12,16.63,0
Jeudi,08-10-2020,13:00,610.64,600
Vendredi,09-10-2020,8:00,510.75,0
Vendredi,09-10-2020,16:20,418.06,0
Samedi,10-10-2020,8:00,344.48,0
Lundi,12-10-2020,8:00,182.9,0
Lundi,12-10-2020,17:00,95.87,0
Mardi,13-10-2020,8:00,52.94,0
Mardi,13-10-2020,13:30,607.39,600
Mardi,13-10-2020,16:40,574.92,0
Mercredi,14-10-2020,8:00,515.92,0
Mercredi,14-10-2020,16:30,429.52,0
Jeudi,15-10-2020,8:00,357.47,0
Jeudi,15-10-2020,17:30,254.91,0
Vendredi,16-10-2020,8:00,175.66,0
Vendredi,16-10-2020,18:02,101.41,0
Samedi,17-10-2020,8:00,33.25,0
Samedi,17-10-2020,15:30,579.75,600
Lundi,19-10-2020,8:00,428.33,0
Lundi,19-10-2020,16:30,338.72,0
Mardi,20-10-2020,8:00,270.39,0
Mardi,20-10-2020,12:00,176.07,0
Mercredi,21-10-2020,8:00,98.94,0
Mercredi,21-10-2020,16:30,624.1,600
Jeudi,22-10-2020,8:00,560.26,0
Jeudi,22-10-2020,18:02,483.7,0
Vendredi,23-10-2020,8:00,425.05,0
Vendredi,23-10-2020,16:30,344.4,0
Samedi,24-10-2020,8:00,279.87,0
Lundi,26-10-2020,8:00,102.97,0
Lundi,26-10-2020,16:00,617.93,600
Mardi,27-10-2020,8:00,542.24,0
Mardi,27-10-2020,17:00,449.05,0
Mercredi,28-10-2020,8:00,383.72,0
Mercredi,28-10-2020,16:30,314.29,0
Jeudi,29-10-2020,8:00,242.43,0
Jeudi,29-10-2020,18:02,150.01,0
Vendredi,30-10-2020,8:00,84.48,0
Vendredi,30-10-2020,16:30,33.04,0
Samedi,31-10-2020,8:00,10.05,0
Samedi,31-10-2020,12:00,608.97,600
Lundi,02-11-2020,8:00,461.48,0
Lundi,02-11-2020,16:30,424.71,0
Mardi,03-11-2020,8:00,370.71,0
Mardi,03-11-2020,16:00,304.38,0
Mercredi,04-11-2020,8:00,236.13,0
Mercredi,04-11-2020,16:20,163.39,0
Jeudi,05-11-2020,8:00,108.93,0
Jeudi,05-11-2020,16:00,647.3,600
Vendredi,06-11-2020,8:00,580.01,0
Vendredi,06-11-2020,17:00,492.44,0
Samedi,07-11-2020,8:00,422.35,0
Samedi,07-11-2020,14:00,395.4,0
Lundi,09-11-2020,8:00,227.09,0
Lundi,09-11-2020,16:20,136.55,0
Mardi,10-11-2020,8:00,53.96,0
Mardi,10-11-2020,16:20,574,600
Mercredi,11-11-2020,8:00,505.9,0
Mercredi,11-11-2020,18:02,432.11,0
Jeudi,12-11-2020,8:00,371.21,0
Jeudi,12-11-2020,16:00,294.41,0
Vendredi,13-11-2020,8:00,227.03,0
Vendredi,13-11-2020,15:30,154.6,0
Samedi,14-11-2020,8:00,57.97,0
Samedi,14-11-2020,13:30,628.46,600
Lundi,16-11-2020,8:00,487.87,0
Lundi,16-11-2020,17:00,402.32,0
Mardi,17-11-2020,8:00,348.46,0
Mardi,17-11-2020,16:00,277.63,0
Mercredi,18-11-2020,8:00,205.3,0
Mercredi,18-11-2020,16:30,141.15,0
Jeudi,19-11-2020,8:00,81.9,0
Jeudi,19-11-2020,16:00,619.15,600
Vendredi,20-11-2020,8:00,548.86,0
Vendredi,20-11-2020,16:00,490.15,0
Samedi,21-11-2020,8:00,410.02,0
Samedi,21-11-2020,17:00,372.11,0
Lundi,23-11-2020,8:00,251.48,0
Lundi,23-11-2020,18:00,150.27,0
Mardi,24-11-2020,8:00,92.88,0
Mardi,24-11-2020,17:00,613.17,600
Mercredi,25-11-2020,8:00,556.73,0
Mercredi,25-11-2020,16:00,488.54,0
Jeudi,26-11-2020,8:00,433.78,0
Jeudi,26-11-2020,16:00,342.27,0
Vendredi,27-11-2020,8:00,270.41,0
Samedi,28-11-2020,8:00,137.5,0
Samedi,28-11-2020,13:30,705.54,650
Lundi,30-11-2020,8:00,550.5,0
Lundi,30-11-2020,18:00,454.52,0
Mardi,01-12-2020,8:00,387.98,0
Mardi,01-12-2020,16:00,303.04,0
Mercredi,02-12-2020,8:00,241.19,0
Mercredi,02-12-2020,17:00,151.98,0
Jeudi,03-12-2020,8:00,93.43,0
Jeudi,03-12-2020,16:00,628.01,600
Vendredi,04-12-2020,8:00,555.62,0
Vendredi,04-12-2020,18:26,462.74,0
Samedi,05-12-2020,8:00,390.32,0
Samedi,05-12-2020,14:00,389.74,0
Lundi,07-12-2020,8:00,210.67,0
Lundi,07-12-2020,16:00,118.69,0
Mardi,08-12-2020,8:00,42.12,0
Mardi,08-12-2020,16:00,595.02,600
Mercredi,09-12-2020,8:00,534.9,0
Mercredi,09-12-2020,17:00,460.45,0
Jeudi,10-12-2020,8:00,394.98,0
Vendredi,11-12-2020,8:00,256.73,0
Vendredi,11-12-2020,16:40,162.77,0
Samedi,12-12-2020,8:00,75.86,0
Samedi,12-12-2020,13:00,650.6,600
